Stanowisko; Miejsce pracy; Rodzaj umowy; Pracodawca; Dostępna od; 
"Monter mebli"; "Gdańsk, pomorskie"; "Umowa o pracę na czas określony"; """EMKO"" NADOLSCY SPÓŁKA JAWNA"; "2025-01-13"; 
"MONTER MEBLI"; "Służewo, kujawsko-pomorskie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; "2025-01-30"; 
"Monter mebli "; "Kańczuga, podkarpackie"; "Umowa o pracę na czas określony"; "CLEVER STUDIO Mateusz Podolak"; "2025-02-03"; 
"Monter mebli (staż)"; "Krasnogliny, lubelskie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-02-07"; 
"Monter mebli/pomocnik stolarza/kierowca"; "Nochowo, wielkopolskie"; "Umowa o pracę na okres próbny"; "MEBLE KAMPRA A.WIĘCEK M.WIĘCEK, P.WIĘCEK SPÓŁKA JAWNA"; "2024-12-05"; 
"Monter napędów do bram , automatyki"; "Morawica, świętokrzyskie"; "Umowa zlecenie / Umowa o świadczenie usług"; "FHU Darex Dariusz Pabian"; "2025-01-29"; 
"Monter nawierzchni kolejowej"; "Katowice, śląskie"; "Umowa o pracę na okres próbny"; "ZAKŁAD AUTOMATYKI I TELEKOMUNIKACJI ""KOLSTER"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-01-27"; 
"Monter obchodowy"; "Bogdanka, lubelskie"; "Umowa o pracę na okres próbny"; "ŁĘCZYŃSKA ENERGETYKA Sp. z o. o."; "2025-01-30"; 
"monter ociepleń budynków"; "Gliwice, śląskie"; "Umowa o pracę na okres próbny"; "PRZEDSIĘBIORSTWO BUDOWLANE RADBUD ALEKSANDER RADZKI"; "2025-01-09"; 
"Monter ociepleń budynków"; "Firlej, lubelskie"; "Umowa o pracę na czas określony"; "BUDMIX SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2024-08-13"; 
"Monter ociepleń budynków"; "Gniewce, świętokrzyskie"; "Umowa o pracę na czas określony"; "ELEWACJE SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-01-16"; 
"Monter ociepleń budynków"; "Wyżnica-Kolonia, lubelskie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-01-14"; 
"Monter ociepleń budynków"; "Ludwinów, lubelskie"; "Umowa o pracę na okres próbny"; "SIPBUD SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-01-20"; 
"Monter ociepleń budynków"; "Nysa, opolskie"; "Umowa o pracę na czas określony"; "USŁUGI BUDOWLANO-HANDLOWE ANDRZEJ LEŚNIEWICZ"; "2025-01-29"; 
"Monter ociepleń budynków"; "Góra, dolnośląskie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-02-04"; 
"MONTER OCIEPLEŃ BUDYNKÓW"; "Kędzierzyn-Koźle, opolskie"; "Umowa o pracę na czas określony"; "ŁUKASZ OPERSKALSKI MALARSTWO - TAPECIARSTWO"; "2025-01-10"; 
"Monter ociepleń budynków "; "Ostrzeszów, wielkopolskie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; "2024-11-15"; 
"Monter ociepleń budynków "; "Mielec, podkarpackie"; "Umowa o pracę na czas określony"; "SUN FLASH ENERGY SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-02-04"; 
"Monter ociepleń budynków - oferta pracy przeznaczona dla osób bezrobotnych powyżej 50 roku życia zarejestrowanych w PUP Słupca."; "Strzałkowo, wielkopolskie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; "2025-01-20"; 
"Monter ociepleń budynków K/M"; "Warszawa, mazowieckie"; "Umowa zlecenie / Umowa o świadczenie usług"; "BUD-REM SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-01-13"; 
"Monter ociepleń budynków-pracownik budowlany"; "Rypin, kujawsko-pomorskie"; "Umowa o pracę na okres próbny"; "PHU Jacek Zabłocki"; "2025-01-27"; 
"Monter odbojnic przemysłowych"; "Elbląg, warmińsko-mazurskie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; "2025-01-03"; 
"Monter Odnawialnych Źródeł Energii (OZE)"; "Gdańsk, pomorskie"; "Umowa o pracę na czas określony"; "SunSol Spółka z o.o."; "2025-01-15"; 
"Monter okablowania"; "Albigowa, podkarpackie"; "Umowa o pracę na okres próbny"; "Dawid Ożóg Helpik"; "2025-01-27"; 
"Monter okien"; "Rietz-Neuendorf, Niemcy"; "Umowa o pracę na czas nieokreślony"; "Thomas Meierhoff Bau- und Reparaturservice"; "2024-09-27"; 
"Monter okien"; "Wodzisław Śląski, śląskie"; "Umowa o pracę na czas nieokreślony"; "EKO-OKNA Spółka Akcyjna"; "2025-01-29"; 
"Monter okien i drzwi"; "Bytom, śląskie"; "Umowa o pracę na czas określony"; "PRZESIĘBIORSTWO HANDLOWO- USŁUGOWE ""EKO 2000"" Stefania Durnaś"; "2025-01-16"; 
"monter okien PCV"; "Reda, pomorskie"; "Umowa o pracę na czas nieokreślony"; """WIN-BUD"" BOGDAN JAŚ, TOMASZ JARZEMBINSKI S.C."; "2025-01-07"; 
"Monter opakowań drewnianych"; "Gliwice, śląskie"; "Umowa o pracę na okres próbny"; """KADOR"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ SPÓŁKA KOMANDYTOWA"; "2025-02-03"; 
"Monter opon"; "Opole, opolskie"; "Umowa o pracę na okres próbny"; "BOGUSŁAW CZERNIAK"; "2025-01-21"; 
"Monter paneli, drzwi, mebli, malarz, szpachlowanie, glazura, budowa mebli"; "Stalowa Wola, podkarpackie"; "Umowa o pracę na okres próbny"; "FENIKS COMPANY Sp. z o.o."; "2025-01-15"; 
"Monter płyt gipsowych"; "Mysłowice, śląskie"; "Umowa zlecenie / Umowa o świadczenie usług"; "Przedsiębiorstwo Wielobranżowe KANBEX sp. z o.o."; "2025-01-15"; 
"Monter płyt kartonowo-gipsowych"; "Łaszka, pomorskie"; "Umowa o pracę na czas określony"; "Robert Nawrocki Nawrocki Usługi Budowlane"; "2022-07-12"; 
"Monter płyt kartonowo-gipsowych"; " okolice Alp, Francja"; "Umowa o pracę na okres próbny"; "EUROPAJOB SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2024-06-24"; 
"Monter płyt kartonowo-gipsowych"; "Brzesko, małopolskie"; "Umowa o pracę na okres próbny"; "Mirosław Kwaśny KOMFORT DOM-Firma Usługowo-Budowlana"; "2025-01-20"; 
"Monter płyt kartonowo-gipsowych"; "Kraków, małopolskie"; "Umowa zlecenie / Umowa o świadczenie usług"; "PRZEDSIĘBIORSTWO HANDLOWO-BUDOWLANE EMKART TRZASKA SPÓŁKA JAWNA"; "2025-02-03"; 
"Monter płyt warstwowych (O)"; "Tarnów, małopolskie"; "Umowa o pracę na okres próbny"; "BAU - SYSTEM SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-01-24"; 
"Monter podłóg"; "Breim, Norwegia"; "Umowa o pracę na czas określony"; "Lys Bemanning AS"; "2025-01-28"; 
"MONTER PODZESPOŁÓW ELEKTRONICZNYCH"; "Myślachowice, małopolskie"; "Umowa o pracę na okres próbny"; "F.U.H.P. PAGE s.c"; "2024-11-15"; 
"Monter podzespołów elektrotechnicznych"; "Żuromin, mazowieckie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-01-24"; 
"Monter podzespołów i zespołów elektronicznych"; "Skawina, małopolskie"; "Umowa o pracę na okres próbny"; "TELPOD SPÓŁKA AKCYJNA"; "2025-01-21"; 
"Monter podzespołów i zespołów elektronicznych"; "Nasielsk, mazowieckie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-01-27"; 
"Monter pomp ciepła"; "Kielce, świętokrzyskie"; "Umowa zlecenie / Umowa o świadczenie usług"; "4 ECO SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-02-05"; 
"monter programista instalacji grzewczej i fotowoltaicznej (doposażenie)"; "Zabrze, śląskie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; "2024-11-13"; 
"Monter regałów magazynowych"; "Kraków, małopolskie"; "Umowa zlecenie / Umowa o świadczenie usług"; "HARDY'S INDUSTRIES SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-02-04"; 
"MONTER REKLAM"; "Kędzierzyn-Koźle, opolskie"; "Umowa o pracę na okres próbny"; "Jerzy Zieliński ZIELIŃSKI-REKLAMA"; "2024-10-15"; 
"Monter reklam K/M"; "Warszawa, mazowieckie"; "Umowa o pracę na czas nieokreślony"; "3D SYSTEM SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-01-16"; 
"Monter reklamy"; "Michałowice, opolskie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-02-04"; 
"MONTER ROBÓT WYKOŃCZENIOWYCH "; "Kędzierzyn-Koźle, opolskie"; "Umowa o pracę na czas określony"; "ŁUKASZ OPERSKALSKI MALARSTWO - TAPECIARSTWO"; "2025-01-10"; 
"monter rolet"; "Sławacinek Stary, lubelskie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-01-21"; 
"MONTER RROCIAGÓW PRZEMYSŁOWYCH"; "Gdańsk, pomorskie"; "Umowa zlecenie / Umowa o świadczenie usług"; "APATRIS SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-02-04"; 
"Monter rur"; "Piekary Śląskie, śląskie"; "Umowa o pracę na okres próbny"; """POLO - TECH"" REALIZACJE PRZEMYSŁOWE KRZYSZTOF PASIECZNY"; "2025-01-08"; 
"MONTER RUR"; "Sopot, pomorskie"; "Umowa zlecenie / Umowa o świadczenie usług"; "Gotia Spółka z ograniczoną odpowiedzialnością"; "2025-02-03"; 
"Monter rurociągów"; "Gdańsk, pomorskie"; "Umowa zlecenie / Umowa o świadczenie usług"; "EXPANDER SERVICE SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-01-10"; 
"Monter rurociągów"; "Pruszcz Gdański, pomorskie"; "Umowa o pracę na okres próbny"; "QUALITY SOLUTIONS SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-01-20"; 
"Monter rurociągów"; "Gdynia, pomorskie"; "Umowa o pracę na okres próbny"; "CONVESS SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-02-06"; 
"Monter rurociągów - brygadzista"; "Kluki, łódzkie"; "Umowa o pracę na czas nieokreślony"; "PATRY-SPAW Jacek Patryarcha USŁUGI SPAWALNICZE"; "2025-01-31"; 
"Monter rurociągów - hydraulik"; "Kluki, łódzkie"; "Umowa o pracę na czas nieokreślony"; "PATRY-SPAW Jacek Patryarcha USŁUGI SPAWALNICZE"; "2025-01-31"; 
"Monter rurociągów (O)"; "Tarnów, małopolskie"; "Umowa o pracę na czas określony"; "WELDING PROCESS SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-01-31"; 
"Monter rurociągów (O)"; "Tarnów, małopolskie"; "Umowa o pracę na czas określony"; "WELDING PROCESS SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-01-31"; 
"Monter rurociągów 141, praca przy rozbudowie Rafinerii Gdańskiej"; "Gdańsk, pomorskie"; "Umowa zlecenie / Umowa o świadczenie usług"; "BOWER SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-01-29"; 
"Monter rurociągów okrętowych"; "Gdańsk, pomorskie"; "Umowa o pracę na czas określony"; "REMONTOWA SHIPBUILDING SPÓŁKA AKCYJNA"; "2025-01-08"; 
"Monter rurociągów okrętowych"; "Pruszcz Gdański, pomorskie"; "Umowa o pracę na okres próbny"; "QUALITY TEAM GROUP SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-01-27"; 
"Monter rurociągów okrętowych"; "Gdańsk, pomorskie"; "Umowa zlecenie / Umowa o świadczenie usług"; "BEST SOLUTION SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-01-31"; 
"Monter rurociągów okrętowych"; "Świnoujście, zachodniopomorskie"; "Umowa zlecenie / Umowa o świadczenie usług"; "kontakt przez OHP"; "2025-02-05"; 
"Monter rurociągów przemysłowych"; "Suradówek, kujawsko-pomorskie"; "Umowa o pracę na czas określony"; "SPAW-MONT Piotr Wiliński"; "2025-01-27"; 
"Monter rusztowań"; "Siemianowice Śląskie, śląskie"; "Umowa zlecenie / Umowa o świadczenie usług"; "S.K.A.T. RUSZTOWANIA Krzysztof Kapałka"; "2025-01-08"; 
"Monter rusztowań"; "Gdańsk, pomorskie"; "Umowa o pracę na czas określony"; "PRZEDSIĘBIORSTWO BUDOWLANO-MONTAŻOWE I RUSZTOWANIOWE ""BUDROS"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-01-09"; 
"Monter rusztowań"; "Ostrów Wielkopolski, wielkopolskie"; "Umowa o pracę na okres próbny"; "GRUPA FESTA RUSZTOWANIA RENATA PRZYBYLSKA"; "2025-01-15"; 
"Monter rusztowań"; "Mirsk, dolnośląskie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; "2025-01-21"; 
"Monter rusztowań"; "Siemianowice Śląskie, śląskie"; "Umowa o pracę na okres próbny"; "STC Mariusz Paszek"; "2025-01-23"; 
"Monter rusztowań"; "Kraków, małopolskie"; "Umowa o pracę na okres próbny"; "K2 Rusztowania Krzysztof Mitoraj"; "2024-01-27"; 
"Monter rusztowań"; "Kraków, małopolskie"; "Umowa o pracę na okres próbny"; "ŁUKASZ KOMENDA PROMONTER"; "2025-01-29"; 
"Monter rusztowań"; "Stara Biała, mazowieckie"; "Umowa zlecenie / Umowa o świadczenie usług"; "SCAFFOLDUP Anna Bucharzewska-Hennig"; "2025-01-29"; 
"Monter rusztowań"; "Gdańsk, pomorskie"; "Umowa zlecenie / Umowa o świadczenie usług"; "Profect Sp.z o.o"; "2025-02-03"; 
"Monter rusztowań"; "Gdańsk, pomorskie"; "Umowa o pracę na okres próbny"; "KATARZYNA NOWAKOWSKA"; "2025-02-03"; 
"MONTER RUSZTOWAŃ"; "Opole, opolskie"; "Umowa o pracę na czas nieokreślony"; "T.I.G. Montaż Sp. z o.o."; "2024-11-28"; 
"Monter rusztowań (informacja starosty)"; "Niedrzwica Kościelna, lubelskie"; "Umowa o pracę na czas określony"; "PHU KRZYSZTOF JASKOWIAK"; "2025-01-23"; 
"Monter rusztowań (nr 0286)"; "Bydgoszcz, kujawsko-pomorskie"; "Umowa zlecenie / Umowa o świadczenie usług"; "NEPTUN SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-02-06"; 
"Monter rusztowań (nr 0290)"; "Bydgoszcz, kujawsko-pomorskie"; "Umowa zlecenie / Umowa o świadczenie usług"; "NORS Group Roman Smolskyi"; "2025-02-06"; 
"Monter rusztowań (O)"; "Tarnów, małopolskie"; "Umowa o pracę na okres próbny"; "PRZEDSIĘBIORSTWO PRODUKCYJNO-USŁUGOWE ""TARIZOLACJA"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-01-22"; 
"Monter rusztowań NIEMCY"; "Niemcy, Niemcy"; "Umowa o pracę na czas określony"; "KRAKBAU SPÓŁKA AKCYJNA"; "2025-02-03"; 
"Monter rusztowań R86/2954-1606/24"; "Włocławek, kujawsko-pomorskie"; "Umowa o pracę na czas określony"; "MEGAN ROMAN LAMPARSKI"; "2024-12-30"; 
"Monter rusztowań z uprawnieniami (O)"; "Tarnów, małopolskie"; "Umowa o pracę na okres próbny"; "IZOINSTALBUD SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-01-24"; 
"Monter rusztowań z uprawnieniami (O)"; "Kraków, małopolskie"; "Umowa o pracę na okres próbny"; "IZOINSTALBUD SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-01-24"; 
"Monter rusztowań/pomocnik "; "Gdańsk, pomorskie"; "Umowa zlecenie / Umowa o świadczenie usług"; "Scaffold Service Natalia Kołodziejczyk"; "2025-01-24"; 
"Monter rusztowań/Pomocnik montera rusztowań"; "Płock, mazowieckie"; "Umowa zlecenie / Umowa o świadczenie usług"; "Mari Access Solution Spz.o.o.SpK"; "2025-01-20"; 
"Monter rusztowań/pomocnik montera rusztowań "; "Gdańsk, pomorskie"; "Umowa o pracę na czas określony"; "RUSZTOWANIA-JONAS SCAFFOLDING SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-01-09"; 
"Monter serwisant"; "Zabrze, śląskie"; "Umowa o pracę na okres próbny"; "kontakt przez PUP"; "2025-01-07"; 
"Monter serwisant instalacji paliwowych i LPG"; "Katowice, śląskie"; "Umowa o pracę na okres próbny"; "PETROBIT SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-01-27"; 
"Monter sieci elektrycznych"; "Nowy Sącz, małopolskie"; "Umowa o pracę na okres próbny"; "BUDROL SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-01-17"; 
"Monter sieci gazowych i rurociągów technologicznych"; "Gdańsk, pomorskie"; "Umowa o pracę na czas określony"; """ELMAL"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-01-30"; 
"Monter sieci i instalacji co, wod-kan i gaz"; "Kcynia, kujawsko-pomorskie"; "Umowa o pracę na okres próbny"; "kontakt przez PUP"; "2025-01-16"; 
"Monter sieci i instalacji sanitarnych"; "Otmuchów, opolskie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; "2025-01-20"; 
"Monter sieci i instalacji sanitarnych"; "Ostrów Wielkopolski, wielkopolskie"; "Umowa o pracę na czas określony"; "ZIS ZAWIDZKI JAN"; "2025-01-28"; 
"Monter sieci i instalacji sanitarnych"; "Kraków, małopolskie"; "Umowa o pracę na okres próbny"; "OMEGA ZAKŁAD SIECI WOD.-KAN. SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-01-30"; 
"Monter sieci i instalacji sanitarnych R1/0280-139/25"; "Włocławek, kujawsko-pomorskie"; "Umowa o pracę na okres próbny"; "CMA BUDOWNICTWO Mariusz Czupryniak"; "2025-02-03"; 
"Monter sieci kanalizacyjnej "; "Lwówek Śląski, dolnośląskie"; "Umowa o pracę na okres próbny"; "Przedsiębiorstwo Wodociągów i Kanalizacji w Bolesławcu Sp. z o. o."; "2025-01-23"; 
"Monter sieci sanitarno-grzewczych oraz klimatyzacyjnych"; "Laucha an der Unstrut, Niemcy"; "Umowa o pracę na czas nieokreślony"; "kontakt przez WUP"; "2019-02-08"; 
"monter sieci sanitarnych"; "Sulechów, lubuskie"; "Umowa o pracę na okres próbny"; "PIBU SZPAKOWSKI SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-02-07"; 
"MONTER SIECI ŚWIATŁOWODOWYCH"; "Mikołów, śląskie"; "Umowa o pracę na okres próbny"; "BPE SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-02-04"; 
"Monter sieci światłowodowych R107/2811-1502/24"; "Włocławek, kujawsko-pomorskie"; "Umowa o pracę na okres próbny"; "KAWUE SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2024-11-28"; 
"monter sieci telekomunikacyjnych"; "Stanisławowo, mazowieckie"; "Umowa o pracę na okres próbny"; "Linkop Magdalena Ranoszek-Kózka"; "2025-01-31"; 
"Monter sieci telekomunikacyjnych"; "Kolno, podlaskie"; "Umowa o pracę na czas określony"; "P.H.U. NET-KOMP Marcin Orłowski"; "2024-12-09"; 
"Monter sieci telekomunikacyjnych"; "Nowy Dwór Gdański, pomorskie"; "Umowa o pracę na czas określony"; "STRZYŻOWSKI.NET MICHAŁ GOMÓŁKA SPÓŁKA KOMANDYTOWA"; "2025-01-13"; 
"Monter sieci telekomunikacyjnych"; "Brzeziny, łódzkie"; "Umowa o pracę na czas określony"; "Citynet Sp. z o.o."; "2025-01-20"; 
"Monter sieci wod-kan"; "Nosarzewo Polne, mazowieckie"; "Umowa o pracę na czas określony"; "MARK INSTAL SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-01-16"; 
"Monter sieci wod-kan"; "Bytom, śląskie"; "Umowa o pracę na okres próbny"; "Przedsiębiorstwo Wodociągów i Kanalizacji Sp. z o.o"; "2025-02-06"; 
"Monter sieci wodno- kanalizacyjnych"; "Gdynia, pomorskie"; "Umowa o pracę na okres próbny"; "WOD-KAN SPÓŁKA JAWNA JAROSŁAW PIETRALIK, WALDEMAR EWALDT, KRZYSZTOF OKOŃ"; "2025-01-29"; 
"Monter sieci wodnych i kanalizacyjnych"; "Kraków, małopolskie"; "Umowa o pracę na czas nieokreślony"; "RYSZARD WÓJCIK FPH "" POL-WOD """; "2025-01-08"; 
"Monter sieci wodnych i kanalizacyjnych"; "Piotrków Trybunalski, łódzkie"; "Umowa o pracę na okres próbny"; "Przedsiębiorstwo Inżynieryjno - Budowlane ZETPRI-EKO Sp. z o.o."; "2025-01-08"; 
"Monter sieci wodnych i kanalizacyjnych"; "Gdańsk, pomorskie"; "Umowa o pracę na czas określony"; "INSTALACJE SANITARNE PROJEKTOWANIE i OBSŁUGA INWESTYCJI PIOTR HAŁUSZCZAK"; "2025-01-09"; 
"Monter sieci wodnych i kanalizacyjnych"; "Trzebnica, dolnośląskie"; "Umowa o pracę na czas określony"; "GMINNY ZAKŁAD GOSPODARKI KOMUNALNEJ TRZEBNICA - ERGO SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-01-13"; 
"Monter sieci wodnych i kanalizacyjnych"; "Trzebnica, dolnośląskie"; "Umowa o pracę na okres próbny"; "Przedsiębiorstwo Instalacyjne ""SYSTEM PLUS"" Mirosław Gajda"; "2025-01-16"; 
"Monter sieci wodnych i kanalizacyjnych"; "Trzebnica, dolnośląskie"; "Umowa o pracę na okres próbny"; "Przedsiębiorstwo Instalacyjne ""SYSTEM PLUS"" Mirosław Gajda"; "2025-01-16"; 
"Monter sieci wodnych i kanalizacyjnych"; "Chorzów, śląskie"; "Umowa o pracę na okres próbny"; "WKT BATORY Sp. z o. o."; "2025-01-20"; 
"Monter sieci wodnych i kanalizacyjnych"; "Hermanowice, podkarpackie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; "2025-01-23"; 
"Monter sieci wodnych i kanalizacyjnych"; "Gdańsk, pomorskie"; "Umowa zlecenie / Umowa o świadczenie usług"; "PRZEDSIĘBIORSTWO HANDLOWO-USŁUGOWE ANDBUD ANDRZEJ FALK"; "2025-01-29"; 
"Monter sieci wodnych i kanalizacyjnych"; "Gorliczyna, podkarpackie"; "Umowa o pracę na czas nieokreślony"; "Zakład Robót Wodno-Kanalizacyjnych Jan i Teresa Pieniążek"; "2025-01-31"; 
"Monter sieci wodnych i kanalizacyjnych"; "Witnica, lubuskie"; "Umowa o pracę na czas określony"; "Miejskie Zakłady Komunalne Spółka z o.o."; "2025-02-06"; 
"Monter sieci wodnych i kanalizacyjnych "; "Nasiadki, mazowieckie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; "2024-08-23"; 
"Monter sieci wodnych i kanalizacyjnych z możliwością przyuczenia"; "Iława, warmińsko-mazurskie"; "Umowa o pracę na okres próbny"; "Iławskie Przedsiębiorstwo Instalacyjno-Budowlane Sp. z o.o."; "2025-01-02"; 
"Monter sieci wodnych i kanalizacyjnych/ Specjalista ds. wsparcia technicznego"; "Reda, pomorskie"; "Umowa o pracę na czas określony"; "PRZEDSIĘBIORSTWO INŻYNIERYJNE ""REDA"" GRUBA ROBERT, FIGEL GRZEGORZ SPÓŁKA JAWNA"; "2024-11-06"; 
"monter sieci wodociągowej"; "Zduńska Wola, łódzkie"; "Umowa o pracę na okres próbny"; "Miejskie Przedsiębiorstwo Wodociągów i Kanalizacji Spółka z o.o."; "2025-02-04"; 
"Monter sieci wodociągowych i kanalizacyjnych "; "Ostrów Wielkopolski, wielkopolskie"; "Umowa o pracę na okres próbny"; "HYDROMONTAŻ M.CIEPLIK, B.PAWLAK SPÓŁKA JAWNA"; "2025-02-07"; 
"MONTER SIECI ZEWNĘTRZNEJ WOD-KAN - 16"; "Żarów, dolnośląskie"; "Umowa o pracę na okres próbny"; "ZAKŁAD WODOCIĄGÓW I KANALIZACJI W ŻAROWIE SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-01-14"; 
"Monter sieci, instalacji i urządzeń sanitarnych"; "Opole, opolskie"; "Umowa o pracę na czas nieokreślony"; "POŹNIAK ŁUKASZ OPOLTERM"; "2025-01-29"; 
"Monter sieci, instalacji i urządzeń sanitarnych - Oferta pracy przeznaczona dla osób bezrobotnych zarejestrowanych w PUP Słupca"; "Słupca, wielkopolskie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; "2025-01-17"; 
"Monter sieci, instalacji i urządzeń sanitarnych - Oferta pracy w ramach refundacji  kosztów wyposażenia stanowiska pracy dla bezrobotnego zarejestrowanego w Urzędzie Pracy w Słupcy"; "Grobla, małopolskie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; "2021-11-10"; 
"monter spawacz"; "Niemcy, Niemcy"; "Umowa o pracę na czas określony"; "INSTAL KRAKÓW SPÓŁKA AKCYJNA"; "2025-01-14"; 
"Monter sprzętu gospodarstwa domowego"; "Piotrków Kujawski, kujawsko-pomorskie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-01-31"; 
"Monter sprzętu oświetleniowego i lamp elektrycznych"; "Kuniów, opolskie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-01-15"; 
"MONTER STELAŻY LEKKICH"; "Osiny, wielkopolskie"; "Umowa o pracę na okres próbny"; "BERSTOL Mariusz Berski"; "2025-01-23"; 
"Monter stelaży meblowych"; "Dębno, zachodniopomorskie"; "Umowa o pracę na czas określony"; "Przedsiębiorstwo Produkcyjno handlowe KAMA sp zoo"; "2025-01-24"; 
"Monter stolarki"; "Pleszew, wielkopolskie"; "Umowa o pracę na okres próbny"; "kontakt przez OHP"; "2025-02-04"; 
"Monter stolarki aluminiowej"; "Szczucin, małopolskie"; "Umowa o pracę na czas określony"; "COMPLEX-BUD Sp. z o. o."; "2025-01-31"; 
"Monter stolarki budowlanej"; "Kraśnik, lubelskie"; "Umowa o pracę na okres próbny"; "Produkcja Handel Usłgi ""Express"""; "2024-11-22"; 
"Monter stolarki budowlanej"; "Tuszyma, podkarpackie"; "Umowa o pracę na okres próbny"; "JUNG-BUD Marek Jung"; "2024-12-12"; 
"Monter stolarki budowlanej"; "Radomsko, łódzkie"; "Umowa o pracę na okres próbny"; "TADOS FIREK SP. Z O.O. SP.K."; "2024-12-13"; 
"Monter stolarki budowlanej"; "Wągrowiec, wielkopolskie"; "Umowa o pracę na czas określony"; "SCANDINAVIAN CONSULTING SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-01-09"; 
"Monter stolarki budowlanej"; "Katowice, śląskie"; "Umowa o pracę na okres próbny"; "PROTECH ALUMINIUM SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-01-10"; 
